country_a,country_b,average_similarity,documents_country_a,documents_country_b,model_used,country_source_note
HND,HND,0.8303324580192566,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
HND,SEN,0.5477200746536255,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
HND,MNG,0.4923374354839325,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
HND,MUS,0.5535507202148438,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
HND,SLB,0.637100875377655,4,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
HND,NIC,0.677713930606842,4,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
HND,PAK,0.5337251424789429,4,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
HND,TKM,0.5592323541641235,4,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SEN,HND,0.5477200150489807,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SEN,SEN,0.7603724598884583,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SEN,MNG,0.40689733624458313,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SEN,MUS,0.6022405624389648,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SEN,SLB,0.5376701354980469,4,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SEN,NIC,0.526138961315155,4,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SEN,PAK,0.48052871227264404,4,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SEN,TKM,0.45828723907470703,4,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MNG,HND,0.4923374354839325,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MNG,SEN,0.40689730644226074,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MNG,MNG,0.7988595962524414,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MNG,MUS,0.3813888430595398,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MNG,SLB,0.4555860757827759,4,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MNG,NIC,0.44368478655815125,4,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MNG,PAK,0.5153778791427612,4,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MNG,TKM,0.6048922538757324,4,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MUS,HND,0.5535507202148438,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MUS,SEN,0.6022405624389648,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MUS,MNG,0.3813888430595398,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MUS,MUS,0.8656940460205078,4,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MUS,SLB,0.5777521729469299,4,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MUS,NIC,0.5104555487632751,4,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MUS,PAK,0.4814504086971283,4,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
MUS,TKM,0.4304506182670593,4,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SLB,HND,0.637100875377655,3,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SLB,SEN,0.5376700758934021,3,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SLB,MNG,0.4555860757827759,3,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SLB,MUS,0.5777521729469299,3,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SLB,SLB,0.8630352020263672,3,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SLB,NIC,0.5245561003684998,3,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SLB,PAK,0.5041417479515076,3,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
SLB,TKM,0.5103726983070374,3,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
NIC,HND,0.677713930606842,3,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
NIC,SEN,0.5261389017105103,3,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
NIC,MNG,0.44368481636047363,3,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
NIC,MUS,0.5104556083679199,3,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
NIC,SLB,0.5245561003684998,3,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
NIC,NIC,0.776915431022644,3,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
NIC,PAK,0.5193246603012085,3,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
NIC,TKM,0.5406880974769592,3,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
PAK,HND,0.5337251424789429,2,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
PAK,SEN,0.48052871227264404,2,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
PAK,MNG,0.5153778791427612,2,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
PAK,MUS,0.4814504086971283,2,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
PAK,SLB,0.5041417479515076,2,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
PAK,NIC,0.5193246006965637,2,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
PAK,PAK,0.9481778144836426,2,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
PAK,TKM,0.5697330236434937,2,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
TKM,HND,0.5592323541641235,2,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
TKM,SEN,0.45828720927238464,2,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
TKM,MNG,0.6048922538757324,2,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
TKM,MUS,0.4304506182670593,2,4,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
TKM,SLB,0.5103726983070374,2,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
TKM,NIC,0.5406880974769592,2,3,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
TKM,PAK,0.5697330236434937,2,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
TKM,TKM,0.9122100472450256,2,2,sentence-transformers/all-MiniLM-L6-v2,Country/geography metadata from dataset
